id,frequency_rank,source,source_id,source_rank,orthography,reading,romaji,english,verb_class,te_form_pattern,transitivity,register,example_ja,example_en
jv-0001,1,native_bccwj,verb-0003,8,言う,いう,iu,say,u,godan-って,unspecified,standard,友だちはそう言った。,My friend said so.
jv-0002,2,native_bccwj,verb-0005,27,来る,くる,kuru,come (spatially or temporally),kuru,irregular-kuru,intransitive,standard,友だちが家に来た。,My friend came to my house.
jv-0003,3,native_bccwj,verb-0006,29,思う,おもう,omou,think,u,godan-って,transitive,standard,その答えが正しいと思った。,I thought that answer was right.
jv-0004,4,native_bccwj,verb-0007,30,見る,みる,miru,see,ichidan_ru,ichidan-て,transitive,standard,夜、短い動画を見た。,I watched a short video at night.
jv-0005,5,native_bccwj,verb-0008,31,行く,いく,iku,go,iku_special,godan-行く-って,intransitive,standard,朝、学校へ行った。,I went to school in the morning.
jv-0006,6,native_bccwj,verb-0011,67,考える,かんがえる,kangaeru,consider,ichidan_ru,ichidan-て,transitive,standard,帰る前にもう一度考えた。,I thought once more before going home.
jv-0007,7,native_bccwj,verb-0013,73,持つ,もつ,motsu,hold (in one's hand),tsu,godan-って,unspecified,standard,駅まで重いかばんを持った。,I held a heavy bag to the station.
jv-0008,8,native_bccwj,verb-0015,78,分かる,わかる,wakaru,be understood,ru,godan-って,intransitive,standard,先生の話で意味が分かった。,I understood the meaning from the teacher’s talk.
jv-0009,9,native_bccwj,verb-0016,83,出る,でる,deru,go out,ichidan_ru,ichidan-て,intransitive,standard,昼ごろ家を出た。,I left the house around noon.
jv-0010,10,native_bccwj,verb-0017,85,行う,おこなう,okonau,perform,u,godan-って,transitive,standard,学校でテストを行った。,The school held a test.
jv-0011,11,native_bccwj,verb-0018,86,取る,とる,toru,take,ru,godan-って,transitive,standard,机の上から本を取った。,I took the book from the desk.
jv-0012,12,native_bccwj,verb-0020,101,使う,つかう,tsukau,"use (a thing, method, etc.)",u,godan-って,transitive,standard,このアプリを毎日使った。,I used this app every day.
