id,orthography,reading,masteryKey,bccwjRank,bccwjOrigin,edictCommon,inKyoikuBasicVocab,inRokusyuTaisyo,rawPos,verbClass,endingGroup,teFormPattern,transitivity,englishPrimary,englishGlosses,alternateSpellings,sameSpellingOtherReadings,allowedInflections,inflectionNotes,dictionary_jp,dictionary_reading,polite_jp,polite_reading,politePast_jp,politePast_reading,politeNegative_jp,politeNegative_reading,negative_jp,negative_reading,past_jp,past_reading,te_jp,te_reading,potential_jp,potential_reading,passive_jp,passive_reading,causative_jp,causative_reading,causativePassive_jp,causativePassive_reading,volitional_jp,volitional_reading,ba_jp,ba_reading,tara_jp,tara_reading,imperative_jp,imperative_reading,prohibitive_jp,prohibitive_reading
verb-0001,居る,いる,居る,4,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,intransitive,be (of animate objects),"be (of animate objects) | exist | stay | verb indicating continuing action or state (i.e. to be ..ing, to have been ..ing)",,"[{""reading"": ""おる"", ""rank_bccwj"": 80, ""english_primary"": ""be (animate)""}]",ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,居る,いる,居ます,います,居ました,いました,居ません,いません,居ない,いない,居た,いた,居て,いて,居られる,いられる,居られる,いられる,居させる,いさせる,居させられる,いさせられる,居よう,いよう,居れば,いれば,居たら,いたら,居ろ,いろ,居るな,いるな
verb-0002,有る,ある,有る,6,和,True,True,True,v5r-i,aru_irregular,aru_irregular,aru-って,intransitive,be (usu. of inanimate objects),be (usu. of inanimate objects) | exist | live | have | be located | be equipped with | happen | come about,在る,[],ba | dictionary | imperative | negative | past | polite | politeNegative | politePast | prohibitive | tara | te | volitional,Negative uses 無い; many derived passive/causative forms are not used as ordinary lexical forms.,有る,ある,あります,あります,ありました,ありました,ありません,ありません,無い,ない,あった,あった,あって,あって,,,,,,,,,あろう,あろう,あれば,あれば,あったら,あったら,あれ,あれ,有るな,あるな
verb-0003,言う,いう,言う,8,和,True,True,True,v5u,godan,u,godan-って,unspecified,say,"say | call (i.e. to give a name) | go (e.g. the alarm went ""ping"") | make a noise",云う | 謂う,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,言う,いう,言います,いいます,言いました,いいました,言いません,いいません,言わない,いわない,言った,いった,言って,いって,言える,いえる,言われる,いわれる,言わせる,いわせる,言わせられる,いわせられる,言おう,いおう,言えば,いえば,言ったら,いったら,言え,いえ,言うな,いうな
verb-0004,成る,なる,成る,12,和,True,True,True,v5r,godan,ru,godan-って,intransitive,become,become | get | grow | be | reach | attain | result in | prove to be | consist of | be composed of | succeed | be complete | change into | be exchanged for | play a role | be promoted (shogi) | do ...,為る,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,成る,なる,成ります,なります,成りました,なりました,成りません,なりません,成らない,ならない,成った,なった,成って,なって,成れる,なれる,成られる,なられる,成らせる,ならせる,成らせられる,ならせられる,成ろう,なろう,成れば,なれば,成ったら,なったら,成れ,なれ,成るな,なるな
verb-0005,来る,くる,来る,27,和,True,True,True,vk,kuru,kuru,irregular-kuru,intransitive,come (spatially or temporally),"come (spatially or temporally) | approach | arrive | come back | do ... and come back | come to be | become | get | grow | continue | come from | be caused by | derive from | come to (i.e. ""when it comes to spinach ..."")",來る,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,来る,くる,来ます,きます,来ました,きました,来ません,きません,来ない,こない,来た,きた,来て,きて,来られる,こられる,来られる,こられる,来させる,こさせる,来させられる,こさせられる,来よう,こよう,来れば,くれば,来たら,きたら,来い,こい,来るな,くるな
verb-0006,思う,おもう,思う,29,和,True,True,True,v5u,godan,u,godan-って,transitive,think,think | consider | believe | think (of doing) | plan (to do) | judge | assess | regard | imagine | suppose | dream | expect | look forward to | feel | desire | want | recall | remember,想う | 念う | 憶う | 懐う | 惟う,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,思う,おもう,思います,おもいます,思いました,おもいました,思いません,おもいません,思わない,おもわない,思った,おもった,思って,おもって,思える,おもえる,思われる,おもわれる,思わせる,おもわせる,思わせられる,おもわせられる,思おう,おもおう,思えば,おもえば,思ったら,おもったら,思え,おもえ,思うな,おもうな
verb-0007,見る,みる,見る,30,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,see,"see | look | watch | view | observe | look over | look on | assess | examine | judge | look after | keep an eye on | take care of | view (e.g. flowers, movie) | try | try out | see that... | find that...",観る | 視る,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,見る,みる,見ます,みます,見ました,みました,見ません,みません,見ない,みない,見た,みた,見て,みて,見られる,みられる,見られる,みられる,見させる,みさせる,見させられる,みさせられる,見よう,みよう,見れば,みれば,見たら,みたら,見ろ,みろ,見るな,みるな
verb-0008,行く,いく,行く,31,和,True,True,True,v5k-s,godan,iku_special,godan-行く-って,intransitive,go,go | proceed | take place | die | pass away | continue | have an orgasm | come | cum | trip | get high | have a drug-induced hallucination,往く | 逝く,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,行く,いく,行きます,いきます,行きました,いきました,行きません,いきません,行かない,いかない,行った,いった,行って,いって,行ける,いける,行かれる,いかれる,行かせる,いかせる,行かせられる,いかせられる,行こう,いこう,行けば,いけば,行ったら,いったら,行け,いけ,行くな,いくな
verb-0009,出来る,できる,出来る,33,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,intransitive,be able (in a position) to do,be able (in a position) to do | be up to the task | be ready | be completed | be made | be built | be good at | be permitted (to do) | become intimate | take up (with somebody) | grow | be raised | become pregnant,出來る,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,出来る,できる,出来ます,できます,出来ました,できました,出来ません,できません,出来ない,できない,出来た,できた,出来て,できて,出来られる,できられる,出来られる,できられる,出来させる,できさせる,出来させられる,できさせられる,出来よう,できよう,出来れば,できれば,出来たら,できたら,出来ろ,できろ,出来るな,できるな
verb-0010,因る,よる,因る,40,和,True,True,True,v5r,godan,ru,godan-って,intransitive,be due to,be due to | be caused by | depend on | turn on | be based on | come from,拠る | 依る | 由る,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,因る,よる,因ります,よります,因りました,よりました,因りません,よりません,因らない,よらない,因った,よった,因って,よって,因れる,よれる,因られる,よられる,因らせる,よらせる,因らせられる,よらせられる,因ろう,よろう,因れば,よれば,因ったら,よったら,因れ,よれ,因るな,よるな
verb-0011,考える,かんがえる,考える,67,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,consider,consider | think about,勘える | 稽える,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,考える,かんがえる,考えます,かんがえます,考えました,かんがえました,考えません,かんがえません,考えない,かんがえない,考えた,かんがえた,考えて,かんがえて,考えられる,かんがえられる,考えられる,かんがえられる,考えさせる,かんがえさせる,考えさせられる,かんがえさせられる,考えよう,かんがえよう,考えれば,かんがえれば,考えたら,かんがえたら,考えろ,かんがえろ,考えるな,かんがえるな
verb-0012,仕舞う,しまう,仕舞う,68,和,True,True,True,v5u,godan,u,godan-って,transitive,finish,"finish | stop | end | put an end to | bring to a close | close (a business, etc.) | close down | shut down | shut up | put away | put back | keep | store | ) to finish ... | do ... completely",終う | 了う | 蔵う,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,仕舞う,しまう,仕舞います,しまいます,仕舞いました,しまいました,仕舞いません,しまいません,仕舞わない,しまわない,仕舞った,しまった,仕舞って,しまって,仕舞える,しまえる,仕舞われる,しまわれる,仕舞わせる,しまわせる,仕舞わせられる,しまわせられる,仕舞おう,しまおう,仕舞えば,しまえば,仕舞ったら,しまったら,仕舞え,しまえ,仕舞うな,しまうな
verb-0013,持つ,もつ,持つ,73,和,True,True,True,v5t,godan,tsu,godan-って,unspecified,hold (in one's hand),hold (in one's hand) | take | carry | possess | have | own | maintain | keep | last | be durable | survive | take charge of | be in charge of,,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,持つ,もつ,持ちます,もちます,持ちました,もちました,持ちません,もちません,持たない,もたない,持った,もった,持って,もって,持てる,もてる,持たれる,もたれる,持たせる,もたせる,持たせられる,もたせられる,持とう,もとう,持てば,もてば,持ったら,もったら,持て,もて,持つな,もつな
verb-0014,遣る,やる,遣る,75,和,True,True,True,v5r,godan,ru,godan-って,both,send,"send | dispatch | despatch | put | move | turn (one's head, glance, etc.) | give (esp. to someone of equal or lower status) | let have | present | bestow | confer | make (a vehicle) go faster | do | undertake | perform | play (a game) | study | run (a business) | keep | be engaged in | practice (law, medicine, etc.) | practise | have (food, drink, etc.) | eat | drink",行る,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,遣る,やる,遣ります,やります,遣りました,やりました,遣りません,やりません,遣らない,やらない,遣った,やった,遣って,やって,遣れる,やれる,遣られる,やられる,遣らせる,やらせる,遣らせられる,やらせられる,遣ろう,やろう,遣れば,やれば,遣ったら,やったら,遣れ,やれ,遣るな,やるな
verb-0015,分かる,わかる,分かる,78,和,True,True,True,v5r,godan,ru,godan-って,intransitive,be understood,be understood | be comprehended | be grasped | become clear | be known | be discovered | be realized | be realised | be found out,解る | 判る | 分る,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,分かる,わかる,分かります,わかります,分かりました,わかりました,分かりません,わかりません,分からない,わからない,分かった,わかった,分かって,わかって,分かれる,わかれる,分かられる,わかられる,分からせる,わからせる,分からせられる,わからせられる,分かろう,わかろう,分かれば,わかれば,分かったら,わかったら,分かれ,わかれ,分かるな,わかるな
verb-0016,出る,でる,出る,83,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,intransitive,go out,go out | exit | leave | appear | come forth | be published | answer (the phone or door),,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,出る,でる,出ます,でます,出ました,でました,出ません,でません,出ない,でない,出た,でた,出て,でて,出られる,でられる,出られる,でられる,出させる,でさせる,出させられる,でさせられる,出よう,でよう,出れば,でれば,出たら,でたら,出ろ,でろ,出るな,でるな
